Mod:Item:MetaData, Localized Name
ic2:cable:3, Высоковольтный провод
ic2:cable:3, Изолированный высоковольтный провод
ic2:cable:3, Высоковольтный провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод с тройной изоляцией
ic2:cable:4, Оловянный провод
ic2:cable:4, Изолированный оловянный провод
ic2:cable:5, Провод-детектор
ic2:cable:6, Провод-разъединитель
ic2:upgrade:0, Улучшение "Ускоритель"
ic2:upgrade:1, Улучшение "Трансформатор"
ic2:upgrade:2, Улучшение "Энергохранитель"
ic2:upgrade:3, Улучшение "Инвертор сигнала красного камня"
ic2:upgrade:4, Улучшение "Выталкиватель"
ic2:upgrade:5, Улучшение "Улучшенный выталкиватель"
ic2:upgrade:6, Улучшение "Затягиватель"
ic2:upgrade:7, Улучшение "Улучшенный затягиватель"
ic2:upgrade:8, Улучшение "Выталкиватель жидкостей"
ic2:upgrade:9, Улучшение "Затягиватель жидкостей"
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Тонкая бронзовая труба
ic2:pipe:0, Малая бронзовая труба
ic2:pipe:0, Средняя бронзовая труба
ic2:pipe:0, Большая бронзовая труба
ic2:pipe:1, Тонкая стальная труба
ic2:pipe:1, Малая стальная труба
ic2:pipe:1, Средняя стальная труба
ic2:pipe:1, Большая стальная труба
ic2:cover:0, Накладной насос низкого напряжения
ic2:cover:1, Накладной насос среднего напряжения
ic2:coke, ic2.coke.name
advanced_solar_panels:advancedsolarhelmet, advanced_solar_panels.solar_helmets.advanced.name
advanced_solar_panels:hybridsolarhelmet, advanced_solar_panels.solar_helmets.hybrid.name
advanced_solar_panels:ultimatesolarhelmet, advanced_solar_panels.solar_helmets.ultimate.name
advanced_solar_panels:crafting:0, Саннариум
advanced_solar_panels:crafting:1, Часть саннариума
advanced_solar_panels:crafting:2, Сплав саннариума
advanced_solar_panels:crafting:3, Излучающий уран
advanced_solar_panels:crafting:4, Обогащённый саннариум
advanced_solar_panels:crafting:5, Сплав обогащённого саннариума
advanced_solar_panels:crafting:6, Излучающая стеклянная панель
advanced_solar_panels:crafting:7, Иридиевая-железная пластина
advanced_solar_panels:crafting:8, Укреплённая иридиевая-железная пластина
advanced_solar_panels:crafting:9, Излучающая укреплённая пластина
advanced_solar_panels:crafting:10, Слиток иридия
advanced_solar_panels:crafting:11, Слиток урана
advanced_solar_panels:crafting:12, MT-ядро
advanced_solar_panels:crafting:13, Квантовое ядро
advanced_solar_panels:double_stone_slab, Каменная плита
forestry:fertilizer_bio, Компост
forestry:fertilizer_compound, Минеральное удобрение
forestry:apatite, Апатит
forestry:research_note, Записи игрока %s
forestry:portable_alyzer, Портативный анализатор
forestry:ingot_copper, Медный слиток
forestry:ingot_tin, Оловянный слиток
forestry:ingot_bronze, Бронзовый слиток
forestry:wrench, Гаечный ключ
forestry:pipette, Пипетка
forestry:sturdy_machine, Прочный корпус
forestry:hardened_machine, Укреплённый корпус
forestry:impregnated_casing, Пропитанный корпус
forestry:flexible_casing, Гибкий корпус
forestry:crafting_material:0, Пульсирующая пыль
forestry:crafting_material:1, Пульсирующая сеть
forestry:crafting_material:2, Клочок шёлка
forestry:crafting_material:3, Тканый шёлк
forestry:crafting_material:4, Рассеивающий заряд
forestry:crafting_material:5, Осколок льда
forestry:crafting_material:6, Пропитанная обшивка
forestry:crafting_material:7, Маскировочная обшивка
forestry:naturalist_helmet, Очки
forestry:peat, Торф
forestry:ash, Пепел
forestry:bituminous_peat, Смолистый торф
forestry:gear_bronze, Бронзовая шестерня
forestry:gear_copper, Медная шестерня
forestry:gear_tin, Оловянная шестерня
forestry:chipsets:0, Основная печатная плата
forestry:chipsets:1, Продвинутая печатная плата
forestry:chipsets:2, Усовершенствованная печатная плата
forestry:chipsets:3, Усложнённая печатная плата
forestry:soldering_iron, Паяльник
forestry:carton, Картон
forestry:oak_stick, Полированная палка
forestry:wood_pulp, Древесная масса
forestry:broken_bronze_pickaxe, Сломанная кирка
forestry:broken_bronze_shovel, Сломанная лопата
forestry:bronze_pickaxe, Кирка выживающего
forestry:bronze_shovel, Лопата выживающего
forestry:kit_shovel, Сборная лопата
forestry:kit_pickaxe, Сборная кирка
forestry:mouldy_wheat, Плесневелая пшеница
forestry:decaying_wheat, Загнивающая пшеница
forestry:mulch, Мульча
forestry:iodine_capsule, Капсула йода
forestry:phosphor, Фосфор
forestry:beeswax, Пчелиный воск
forestry:refractory_wax, Огнеупорный воск
forestry:fruits:0, Вишня
forestry:fruits:1, Грецкий орех
forestry:fruits:2, Каштан
forestry:fruits:3, Лимон
forestry:fruits:4, Слива
forestry:fruits:5, Финик
forestry:fruits:6, Папайя
forestry:analyzer:0, Анализатор
forestry:escritoire:0, Секретер
forestry:bog_earth:0, Болотная земля
forestry:humus:0, Гумус
forestry:resources:0, Апатитовая руда
forestry:resources:1, Медная руда
forestry:resources:2, Оловянная руда
forestry:resource_storage:0, Апатитовый блок
forestry:resource_storage:1, Медный блок
forestry:resource_storage:2, Оловянный блок
forestry:resource_storage:3, Бронзовый блок
forestry:ash_brick:0, Кирпичи из золы
forestry:ash_stairs:0, Ступеньки из золы
forestry:mushroom:0, tile.for.mushroom.name
forestry:mushroom:1, tile.for.mushroom.name
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:0, Блок фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:2, Редуктор фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:3, Люк фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:4, Вентиль фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:ffarm:5, Блок управления фермы
forestry:engine_peat:0, Торфяной двигатель
forestry:engine_biogas:0, Биогазовый двигатель
forestry:engine_clockwork:0, Заводной двигатель
forestry:database:0, База данных
forestry:greenhouse:0, Парниковый блок
forestry:greenhouse:3, Распределитель парниковой энергии
forestry:greenhouse:4, Парниковый контроль
forestry:greenhouse:5, Парниковый экран
forestry:climatiser:0, Тепличный терморегулятор
forestry:climatiser:1, Подогреватель парника
forestry:climatiser:2, Вентилятор парника
forestry:climatiser:3, Увлажнитель парника
forestry:climatiser:4, Осушитель парника
forestry:greenhouse.window:0, Окно парника
forestry:greenhouse.window_up:0, Окно крыши парника
forestry:habitat_former:0, Бывшая среда обитания
forestry:habitat_screen, Экран среды обитания
forestry:crate, Ящик
forestry:fluid.bio.ethanol, Этанол
forestry:fluid.biomass, Биомасса
forestry:fluid.glass, Жидкое стекло
forestry:fluid.for.honey, Мёд
forestry:fluid.ice, Молотый лёд
forestry:fluid.juice, Фруктовый сок
forestry:fluid.milk, Молоко
forestry:fluid.seed.oil, Растительное масло
forestry:fluid.short.mead, Питный мёд
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:bottler:0, Разливочный механизм
forestry:carpenter:0, Плотник
forestry:centrifuge:0, Центрифуга
forestry:fermenter:0, Бродильный аппарат
forestry:moistener:0, Увлажнитель
forestry:squeezer:0, Соковыжималка
forestry:still:0, Дистиллятор
forestry:rainmaker:0, Генератор дождя
forestry:fabricator:0, Электроламповый завод
forestry:raintank:0, Бак для дождя
forestry:worktable:0, Рабочий стол
forestry:honeyed_slice, Бутерброд с мёдом
forestry:ambrosia, Амброзия
forestry:honey_pot, Горшочек мёда
forestry:habitat_locator, Определитель ареала
forestry:imprinter, Импринтер
forestry:cart.beehouse:0, Вагонетка с пчелиным домиком
forestry:cart.beehouse:1, Вагонетка с пасекой
forestry:frame_untreated, Необработанная рамка
forestry:frame_impregnated, Пропитанная рамка
forestry:frame_proven, Проверенная рамка
forestry:honey_drop:0, Капля мёда
forestry:pollen:0, Скопление пыльцы
forestry:pollen:1, Скопление кристаллической пыльцы
forestry:propolis:0, Прополис
forestry:propolis:1, Липкий прополис
forestry:propolis:3, Шелковистый прополис
forestry:honeydew, Медвяная роса
forestry:royal_jelly, Маточное молочко
forestry:wax_cast, Восковая форма
forestry:bee_combs:0, Медовые соты
forestry:bee_combs:2, Кипящие соты
forestry:bee_combs:3, Вязкие соты
forestry:bee_combs:4, Морозные соты
forestry:bee_combs:5, Капающие соты
forestry:bee_combs:6, Шелковистые соты
forestry:bee_combs:7, Пересохшие соты
forestry:bee_combs:15, Замшелые соты
forestry:bee_combs:16, Спелые соты
forestry:apiarist_helmet, Защитная маска пчеловода
forestry:apiarist_chest, Куртка пчеловода
forestry:apiarist_legs, Штаны пчеловода
forestry:apiarist_boots, Ботинки пчеловода
forestry:scoop, Сачок
forestry:smoker, Дымарь
forestry:apiary:0, Пасека
forestry:bee_house:0, Пчелиный домик
forestry:bee_chest:0, Сундук пчеловода
forestry:beehives:0, Лесной улей
forestry:beehives:1, Луговой улей
forestry:beehives:2, Пустынный улей
forestry:beehives:3, Тропический улей
forestry:beehives:4, Драконий улей
forestry:beehives:5, Снежный улей
forestry:beehives:6, Болотный улей
forestry:candle:0, Тёмная свеча
forestry:stump:0, Потухшая свеча
forestry:bee_combs_0:0, Блок медовых сот
forestry:bee_combs_0:2, Блок кипящих сот
forestry:bee_combs_0:3, Блок вязких сот
forestry:bee_combs_0:4, Блок морозных сот
forestry:bee_combs_0:5, Блок капающих сот
forestry:bee_combs_0:6, Блок шелковистых сот
forestry:bee_combs_0:7, Блок пересохших сот
forestry:bee_combs_0:15, Блок замшелых сот
forestry:bee_combs_1:0, Блок спелых сот
forestry:alveary.plain:0, Пчелиный улей
forestry:alveary.swarmer:0, Роевня
forestry:alveary.fan:0, Вентилятор улья
forestry:alveary.heater:0, Обогреватель улья
forestry:alveary.hygro:0, Кондиционер улья
forestry:alveary.stabiliser:0, Стабилизатор улья
forestry:alveary.sieve:0, Сито улья
forestry:genetic_filter:0, Генетический фильтр
forestry:book_forester, Руководство лесника
forestry:stamps:0, Почтовая марка (1n)
forestry:stamps:1, Почтовая марка (2n)
forestry:stamps:2, Почтовая марка (5n)
forestry:stamps:3, Почтовая марка (10n)
forestry:stamps:4, Почтовая марка (20n)
forestry:stamps:5, Почтовая марка (50n)
forestry:stamps:6, Почтовая марка (100n)
forestry:letters, Письмо
forestry:catalogue, Каталог
forestry:mailbox:0, Почтовый ящик
forestry:trade_station:0, Торговая станция
forestry:stamp_collector:0, Сборщик марок
forestry:charcoal:0, Блок древесного угля
forestry:wood_pile:0, Охапка дров
forestry:wood_pile_decorative:0, Декоративная охапка дров
forestry:ash_block_0:0, Блок пепла
forestry:ash_block_1:0, Блок пепла
forestry:ash_block_2:0, Блок пепла
forestry:ash_block_3:0, Блок пепла
forestry:loam:0, Суглинок
forestry:grafter, Садовый нож
forestry:grafter_proven, Проверенный садовый нож
forestry:logs.0:0, Древесина лиственницы
forestry:logs.0:1, Древесина тикового дерева
forestry:logs.0:2, Древесина акации
forestry:logs.0:3, Древесина липы
forestry:logs.1:0, Древесина каштана
forestry:logs.1:1, Древесина дерева Венге
forestry:logs.1:2, Древесина баобаба
forestry:logs.1:3, Древесина секвойи
forestry:logs.2:0, Древесина хлопкового дерева
forestry:logs.2:1, Древесина мирта
forestry:logs.2:2, Древесина красного дерева
forestry:logs.2:3, Древесина бальзы
forestry:logs.3:0, Древесина ивы
forestry:logs.3:1, Древесина орехового дерева
forestry:logs.3:2, Древесина гринхарта
forestry:logs.3:3, Древесина вишнёвого дерева
forestry:logs.4:0, Древесина гибискуса
forestry:logs.4:1, Древесина тополя
forestry:logs.4:2, Древесина пальмы
forestry:logs.4:3, Древесина дынного дерева
forestry:logs.5:0, Древесина сосны
forestry:logs.5:1, Древесина сливового дерева
forestry:logs.5:2, Древесина клёна
forestry:logs.5:3, Древесина цитрусового дерева
forestry:logs.6:0, Древесина гигантской секвойи
forestry:logs.6:1, Древесина муравьиного дерева
forestry:logs.6:2, Древесина падука
forestry:logs.6:3, Древесина кокоболо
forestry:logs.7:0, Древесина зебрано
forestry:logs.fireproof.0:0, Древесина лиственницы (огнестойкость)
forestry:logs.fireproof.0:1, Древесина тикового дерева (огнестойкость)
forestry:logs.fireproof.0:2, Древесина акации (огнестойкость)
forestry:logs.fireproof.0:3, Древесина липы (огнестойкость)
forestry:logs.fireproof.1:0, Древесина каштана (огнестойкость)
forestry:logs.fireproof.1:1, Древесина дерева Венге (огнестойкость)
forestry:logs.fireproof.1:2, Древесина баобаба (огнестойкость)
forestry:logs.fireproof.1:3, Древесина секвойи (огнестойкость)
forestry:logs.fireproof.2:0, Древесина хлопкового дерева (огнестойкость)
forestry:logs.fireproof.2:1, Древесина мирта (огнестойкость)
forestry:logs.fireproof.2:2, Древесина красного дерева (огнестойкость)
forestry:logs.fireproof.2:3, Древесина бальзы (огнестойкость)
forestry:logs.fireproof.3:0, Древесина ивы (огнестойкость)
forestry:logs.fireproof.3:1, Древесина орехового дерева (огнестойкость)
forestry:logs.fireproof.3:2, Древесина гринхарта (огнестойкость)
forestry:logs.fireproof.3:3, Древесина вишнёвого дерева (огнестойкость)
forestry:logs.fireproof.4:0, Древесина гибискуса (огнестойкость)
forestry:logs.fireproof.4:1, Древесина тополя (огнестойкость)
forestry:logs.fireproof.4:2, Древесина пальмы (огнестойкость)
forestry:logs.fireproof.4:3, Древесина дынного дерева (огнестойкость)
forestry:logs.fireproof.5:0, Древесина сосны (огнестойкость)
forestry:logs.fireproof.5:1, Древесина сливового дерева (огнестойкость)
forestry:logs.fireproof.5:2, Древесина клёна (огнестойкость)
forestry:logs.fireproof.5:3, Древесина цитрусового дерева (огнестойкость)
forestry:logs.fireproof.6:0, Древесина гигантской секвойи (огнестойкость)
forestry:logs.fireproof.6:1, Древесина муравьиного дерева (огнестойкость)
forestry:logs.fireproof.6:2, Древесина падука (огнестойкость)
forestry:logs.fireproof.6:3, Древесина кокоболо (огнестойкость)
forestry:logs.fireproof.7:0, Древесина зебрано (огнестойкость)
forestry:logs.vanilla.fireproof.0:0, Дуб (огнестойкость)
forestry:logs.vanilla.fireproof.0:1, Ель (огнестойкость)
forestry:logs.vanilla.fireproof.0:2, Берёза (огнестойкость)
forestry:logs.vanilla.fireproof.0:3, Тропическое дерево (огнестойкость)
forestry:logs.vanilla.fireproof.1:0, Акация (огнестойкость)
forestry:logs.vanilla.fireproof.1:1, Тёмный дуб (огнестойкость)
forestry:planks.0:0, Доски из лиственницы
forestry:planks.0:1, Доски из тикового дерева
forestry:planks.0:2, Доски из акации
forestry:planks.0:3, Доски из липы
forestry:planks.0:4, Доски из каштана
forestry:planks.0:5, Доски из дерева Венге
forestry:planks.0:6, Доски из баобаба
forestry:planks.0:7, Доски из секвойи
forestry:planks.0:8, Доски из хлопкового дерева
forestry:planks.0:9, Доски из мирта
forestry:planks.0:10, Доски из красного дерева
forestry:planks.0:11, Доски из бальзы
forestry:planks.0:12, Доски из ивы
forestry:planks.0:13, Доски из орехового дерева
forestry:planks.0:14, Доски из гринхарта
forestry:planks.0:15, Доски из вишнёвого дерева
forestry:planks.1:0, Доски из гибискуса
forestry:planks.1:1, Доски из тополя
forestry:planks.1:2, Доски из пальмы
forestry:planks.1:3, Доски из дынного дерева
forestry:planks.1:4, Доски из сосны
forestry:planks.1:5, Доски из сливового дерева
forestry:planks.1:6, Доски из клёна
forestry:planks.1:7, Доски из цитрусового дерева
forestry:planks.1:8, Доски из гигантской секвойи
forestry:planks.1:9, Доски из муравьиного дерева
forestry:planks.1:10, Доски из падука
forestry:planks.1:11, Доски из кокоболо
forestry:planks.1:12, Доски из зебрано
forestry:planks.fireproof.0:0, Доски из лиственницы (огнестойкость)
forestry:planks.fireproof.0:1, Доски из тикового дерева (огнестойкость)
forestry:planks.fireproof.0:2, Доски из акации (огнестойкость)
forestry:planks.fireproof.0:3, Доски из липы (огнестойкость)
forestry:planks.fireproof.0:4, Доски из каштана (огнестойкость)
forestry:planks.fireproof.0:5, Доски из дерева Венге (огнестойкость)
forestry:planks.fireproof.0:6, Доски из баобаба (огнестойкость)
forestry:planks.fireproof.0:7, Доски из секвойи (огнестойкость)
forestry:planks.fireproof.0:8, Доски из хлопкового дерева (огнестойкость)
forestry:planks.fireproof.0:9, Доски из мирта (огнестойкость)
forestry:planks.fireproof.0:10, Доски из красного дерева (огнестойкость)
forestry:planks.fireproof.0:11, Доски из бальзы (огнестойкость)
forestry:planks.fireproof.0:12, Доски из ивы (огнестойкость)
forestry:planks.fireproof.0:13, Доски из орехового дерева (огнестойкость)
forestry:planks.fireproof.0:14, Доски из гринхарта (огнестойкость)
forestry:planks.fireproof.0:15, Доски из вишнёвого дерева (огнестойкость)
forestry:planks.fireproof.1:0, Доски из гибискуса (огнестойкость)
forestry:planks.fireproof.1:1, Доски из тополя (огнестойкость)
forestry:planks.fireproof.1:2, Доски из пальмы (огнестойкость)
forestry:planks.fireproof.1:3, Доски из дынного дерева (огнестойкость)
forestry:planks.fireproof.1:4, Доски из сосны (огнестойкость)
forestry:planks.fireproof.1:5, Доски из сливового дерева (огнестойкость)
forestry:planks.fireproof.1:6, Доски из клёна (огнестойкость)
forestry:planks.fireproof.1:7, Доски из цитрусового дерева (огнестойкость)
forestry:planks.fireproof.1:8, Доски из гигантской секвойи (огнестойкость)
forestry:planks.fireproof.1:9, Доски из муравьиного дерева (огнестойкость)
forestry:planks.fireproof.1:10, Доски из падука (огнестойкость)
forestry:planks.fireproof.1:11, Доски из кокоболо (огнестойкость)
forestry:planks.fireproof.1:12, Доски из зебрано (огнестойкость)
forestry:planks.vanilla.fireproof.0:0, Дубовые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:1, Еловые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:2, Берёзовые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:3, Доски из тропического дерева (огнестойкость)
forestry:planks.vanilla.fireproof.0:4, Акациевые доски (огнестойкость)
forestry:planks.vanilla.fireproof.0:5, Доски из тёмного дуба (огнестойкость)
forestry:slabs.0:0, Плита из лиственницы
forestry:slabs.0:1, Плита из тикового дерева
forestry:slabs.0:2, Плита из акации
forestry:slabs.0:3, Плита из липы
forestry:slabs.0:4, Плита из каштана
forestry:slabs.0:5, Плита из дерева Венге
forestry:slabs.0:6, Плита из баобаба
forestry:slabs.0:7, Плита из секвойи
forestry:slabs.1:0, Плита из хлопкового дерева
forestry:slabs.1:1, Плита из мирта
forestry:slabs.1:2, Плита из красного дерева
forestry:slabs.1:3, Плита из бальзы
forestry:slabs.1:4, Плита из ивы
forestry:slabs.1:5, Плита из орехового дерева
forestry:slabs.1:6, Плита из гринхарта
forestry:slabs.1:7, Плита из вишнёвого дерева
forestry:slabs.2:0, Плита из гибискуса
forestry:slabs.2:1, Плита из тополя
forestry:slabs.2:2, Плита из пальмы
forestry:slabs.2:3, Плита из дынного дерева
forestry:slabs.2:4, Плита из сосны
forestry:slabs.2:5, Плита из сливового дерева
forestry:slabs.2:6, Плита из клёна
forestry:slabs.2:7, Плита из цитрусового дерева
forestry:slabs.3:0, Плита из гигантской секвойи
forestry:slabs.3:1, Плита из муравьиного дерева
forestry:slabs.3:2, Плита из падука
forestry:slabs.3:3, Плита из кокоболо
forestry:slabs.3:4, Плита из зебрано
forestry:slabs.fireproof.0:0, Плита из лиственницы (огнестойкость)
forestry:slabs.fireproof.0:1, Плита из тикового дерева (огнестойкость)
forestry:slabs.fireproof.0:2, Плита из акации (огнестойкость)
forestry:slabs.fireproof.0:3, Плита из липы (огнестойкость)
forestry:slabs.fireproof.0:4, Плита из каштана (огнестойкость)
forestry:slabs.fireproof.0:5, Плита из дерева Венге (огнестойкость)
forestry:slabs.fireproof.0:6, Плита из баобаба (огнестойкость)
forestry:slabs.fireproof.0:7, Плита из секвойи (огнестойкость)
forestry:slabs.fireproof.1:0, Плита из хлопкового дерева (огнестойкость)
forestry:slabs.fireproof.1:1, Плита из мирта (огнестойкость)
forestry:slabs.fireproof.1:2, Плита из красного дерева (огнестойкость)
forestry:slabs.fireproof.1:3, Плита из бальзы (огнестойкость)
forestry:slabs.fireproof.1:4, Плита из ивы (огнестойкость)
forestry:slabs.fireproof.1:5, Плита из орехового дерева (огнестойкость)
forestry:slabs.fireproof.1:6, Плита из гринхарта (огнестойкость)
forestry:slabs.fireproof.1:7, Плита из вишнёвого дерева (огнестойкость)
forestry:slabs.fireproof.2:0, Плита из гибискуса (огнестойкость)
forestry:slabs.fireproof.2:1, Плита из тополя (огнестойкость)
forestry:slabs.fireproof.2:2, Плита из пальмы (огнестойкость)
forestry:slabs.fireproof.2:3, Плита из дынного дерева (огнестойкость)
forestry:slabs.fireproof.2:4, Плита из сосны (огнестойкость)
forestry:slabs.fireproof.2:5, Плита из сливового дерева (огнестойкость)
forestry:slabs.fireproof.2:6, Плита из клёна (огнестойкость)
forestry:slabs.fireproof.2:7, Плита из цитрусового дерева (огнестойкость)
forestry:slabs.fireproof.3:0, Плита из гигантской секвойи (огнестойкость)
forestry:slabs.fireproof.3:1, Плита из муравьиного дерева (огнестойкость)
forestry:slabs.fireproof.3:2, Плита из падука (огнестойкость)
forestry:slabs.fireproof.3:3, Плита из кокоболо (огнестойкость)
forestry:slabs.fireproof.3:4, Плита из зебрано (огнестойкость)
forestry:slabs.vanilla.fireproof.0:0, Дубовая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:1, Еловая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:2, Берёзовая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:3, Плита из тропического дерева (огнестойкость)
forestry:slabs.vanilla.fireproof.0:4, Акациевая плита (огнестойкость)
forestry:slabs.vanilla.fireproof.0:5, Плита из тёмного дуба (огнестойкость)
forestry:fences.0:0, Забор из лиственницы
forestry:fences.0:1, Забор из тикового дерева
forestry:fences.0:2, Забор из акации
forestry:fences.0:3, Забор из липы
forestry:fences.0:4, Забор из каштана
forestry:fences.0:5, Забор из дерева Венге
forestry:fences.0:6, Забор из баобаба
forestry:fences.0:7, Забор из секвойи
forestry:fences.0:8, Забор из хлопкового дерева
forestry:fences.0:9, Забор из мирта
forestry:fences.0:10, Забор из красного дерева
forestry:fences.0:11, Забор из бальзы
forestry:fences.0:12, Забор из ивы
forestry:fences.0:13, Забор из орехового дерева
forestry:fences.0:14, Забор из гринхарта
forestry:fences.0:15, Забор из вишнёвого дерева
forestry:fences.1:0, Забор из гибискуса
forestry:fences.1:1, Забор из тополя
forestry:fences.1:2, Забор из пальмы
forestry:fences.1:3, Забор из дынного дерева
forestry:fences.1:4, Забор из сосны
forestry:fences.1:5, Забор из сливового дерева
forestry:fences.1:6, Забор из клёна
forestry:fences.1:7, Забор из цитрусового дерева
forestry:fences.1:8, Забор из гигантской секвойи
forestry:fences.1:9, Забор из муравьиного дерева
forestry:fences.1:10, Забор из падука
forestry:fences.1:11, Забор из кокоболо
forestry:fences.1:12, Забор из зебрано
forestry:fences.fireproof.0:0, Забор из лиственницы (огнестойкость)
forestry:fences.fireproof.0:1, Забор из тикового дерева (огнестойкость)
forestry:fences.fireproof.0:2, Забор из акации (огнестойкость)
forestry:fences.fireproof.0:3, Забор из липы (огнестойкость)
forestry:fences.fireproof.0:4, Забор из каштана (огнестойкость)
forestry:fences.fireproof.0:5, Забор из дерева Венге (огнестойкость)
forestry:fences.fireproof.0:6, Забор из баобаба (огнестойкость)
forestry:fences.fireproof.0:7, Забор из секвойи (огнестойкость)
forestry:fences.fireproof.0:8, Забор из хлопкового дерева (огнестойкость)
forestry:fences.fireproof.0:9, Забор из мирта (огнестойкость)
forestry:fences.fireproof.0:10, Забор из красного дерева (огнестойкость)
forestry:fences.fireproof.0:11, Забор из бальзы (огнестойкость)
forestry:fences.fireproof.0:12, Забор из ивы (огнестойкость)
forestry:fences.fireproof.0:13, Забор из орехового дерева (огнестойкость)
forestry:fences.fireproof.0:14, Забор из гринхарта (огнестойкость)
forestry:fences.fireproof.0:15, Забор из вишнёвого дерева (огнестойкость)
forestry:fences.fireproof.1:0, Забор из гибискуса (огнестойкость)
forestry:fences.fireproof.1:1, Забор из тополя (огнестойкость)
forestry:fences.fireproof.1:2, Забор из пальмы (огнестойкость)
forestry:fences.fireproof.1:3, Забор из дынного дерева (огнестойкость)
forestry:fences.fireproof.1:4, Забор из сосны (огнестойкость)
forestry:fences.fireproof.1:5, Забор из сливового дерева (огнестойкость)
forestry:fences.fireproof.1:6, Забор из клёна (огнестойкость)
forestry:fences.fireproof.1:7, Забор из цитрусового дерева (огнестойкость)
forestry:fences.fireproof.1:8, Забор из гигантской секвойи (огнестойкость)
forestry:fences.fireproof.1:9, Забор из муравьиного дерева (огнестойкость)
forestry:fences.fireproof.1:10, Забор из падука (огнестойкость)
forestry:fences.fireproof.1:11, Забор из кокоболо (огнестойкость)
forestry:fences.fireproof.1:12, Забор из зебрано (огнестойкость)
forestry:fences.vanilla.fireproof.0:0, Дубовый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:1, Еловый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:2, Берёзовый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:3, Забор из тропического дерева (огнестойкость)
forestry:fences.vanilla.fireproof.0:4, Акациевый забор (огнестойкость)
forestry:fences.vanilla.fireproof.0:5, Забор из тёмного дуба (огнестойкость)
forestry:fence.gates.larch:0, Калитка из лиственницы
forestry:fence.gates.fireproof.larch:0, Калитка из лиственницы (огнестойкость)
forestry:fence.gates.teak:0, Калитка из тикового дерева
forestry:fence.gates.fireproof.teak:0, Калитка из тикового дерева (огнестойкость)
forestry:fence.gates.acacia:0, Калитка из акации
forestry:fence.gates.fireproof.acacia:0, Калитка из акации (огнестойкость)
forestry:fence.gates.lime:0, Калитка из липы
